%time,field.x,field.y,field.z
1487138115418592646,0.0,0.0,1.91905994163e-29
1487138115434883623,0.0,0.0,2.97004243299e-08
1487138115451225641,0.0,0.0,4.67618809281e-07
1487138115461074460,0.0,0.0,2.32936796058e-06
1487138115474536065,0.0,0.0,7.24345321602e-06
1487138115480159599,0.0,0.0,1.73984123864e-05
1487138115492725955,0.0,0.0,3.5491926427e-05
1487138115501165235,0.0,0.0,6.46818629897e-05
1487138115510893804,0.0,0.0,0.000108539215318
1487138115521266456,0.0,0.0,0.000171002899256
1487138115531996315,0.0,0.0,0.000256336371463
1487138115544974796,0.0,0.0,0.000369086032221
1487138115554196116,0.0,0.0,0.000514041376548
1487138115564379727,0.0,0.0,0.000696196857636
1487138115574884503,0.0,0.0,0.000920715426951
1487138115580930911,0.0,0.0,0.00119289371562
1487138115591303021,0.0,0.0,0.00151812882207
1487138115600509758,0.0,0.0,0.0019018866712
1487138115611168284,0.0,0.0,0.00234967191066
1487138115622129018,0.0,0.0,0.00286699931002
1487138115633483793,0.0,0.0,0.00345936662929
1487138115643145279,0.0,0.0,0.00413222892295
1487138115651172018,0.0,0.0,0.00489097424666
1487138115660416838,0.0,0.0,0.00574090073349
1487138115670819322,0.0,0.0,0.00668719500734
1487138115680196351,0.0,0.0,0.00773491190121
1487138115691374668,0.0,0.0,0.0088889554483
1487138115701644903,0.0,0.0,0.0101540611146
1487138115712362471,0.0,0.0,0.0115347792411
1487138115721683040,0.0,0.0,0.0130354596658
1487138115730811027,0.0,0.0,0.0146602374929
1487138115743554634,0.0,0.0,0.0164130199809
1487138115751042415,0.0,0.0,0.0182974745181
1487138115763630521,0.0,0.0,0.0203170176565
1487138115773215382,0.0,0.0,0.0224748051741
1487138115781408787,0.0,0.0,0.0247737231369
1487138115793206937,0.0,0.0,0.0272163799319
1487138115803150006,0.0,0.0,0.0298050992418
1487138115810494287,0.0,0.0,0.0325419139343
1487138115820340064,0.0,0.0,0.0354285608373
1487138115832834588,0.0,0.0,0.0384664763727
1487138115844429488,0.0,0.0,0.0416567930216
1487138115854710514,0.0,0.0,0.045000336594
1487138115864295417,0.0,0.0,0.0484976242761
1487138115877097649,0.0,0.0,0.0521488634291
1487138115890331046,0.0,0.0,0.0559539511132
1487138115905451899,0.0,0.0,0.0599124743122
1487138115910924016,0.0,0.0,0.064023710831
1487138115919393171,0.0,0.0,0.068286630844
1487138115926033786,0.0,0.0,0.0726998990662
1487138115932777360,0.0,0.0,0.0772618775263
1487138115941758180,0.0,0.0,0.0819706289141
1487138115954121120,0.0,0.0,0.0868239204805
1487138115963583898,0.0,0.0,0.0918192284668
1487138115973789550,0.0,0.0,0.0969537430377
1487138115985403658,0.0,0.0,0.102224373699
1487138115994162104,0.0,0.0,0.107627755171
1487138116009075207,0.0,0.0,0.113160253708
1487138116021289190,0.0,0.0,0.118817973822
1487138116027228139,0.0,0.0,0.124596765407
1487138116034940837,0.0,0.0,0.13049223124
1487138116049919023,0.0,0.0,0.136499734822
1487138116054081434,0.0,0.0,0.142614408561
1487138116063417587,0.0,0.0,0.148831162261
1487138116072868615,0.0,0.0,0.155144691897
1487138116086575845,0.0,0.0,0.161549488672
1487138116093718293,0.0,0.0,0.168039848313
1487138116101811740,0.0,0.0,0.174609880604
1487138116134081943,0.0,0.0,0.181253519137
1487138116162981818,0.0,0.0,0.187964531247
1487138116195471729,0.0,0.0,0.194736528136
1487138116222517731,0.0,0.0,0.201562975141
1487138116253138104,0.0,0.0,0.208437202158
1487138116280625356,0.0,0.0,0.215352414176
1487138116313549766,0.0,0.0,0.222301701929
1487138116336638858,0.0,0.0,0.229278052629
1487138116347161759,0.0,0.0,0.236274360779
1487138116356179413,0.0,0.0,0.243283439037
1487138116368691936,0.0,0.0,0.250298029131
1487138116375757218,0.0,0.0,0.25731081279
1487138116389722656,0.0,0.0,0.264314422695
1487138116399784683,0.0,0.0,0.271301453421
1487138116410928500,0.0,0.0,0.278264472361
1487138116418419323,0.0,0.0,0.285196030624
1487138116434688007,0.0,0.0,0.292088673878
1487138116448948862,0.0,0.0,0.298934953141
1487138116449004820,0.0,0.0,0.305727435495
1487138116458601931,0.0,0.0,0.312458714715
1487138116470740122,0.0,0.0,0.319121421799
1487138116476194947,0.0,0.0,0.325708235391
1487138116499140122,0.0,0.0,0.332211892077
1487138116499218872,0.0,0.0,0.338625196547
1487138116510756230,0.0,0.0,0.344941031613
1487138116519662051,0.0,0.0,0.351152368071
1487138116531010909,0.0,0.0,0.357252274395
1487138116538638815,0.0,0.0,0.363233926247
1487138116551311505,0.0,0.0,0.369090615809
1487138116557116997,0.0,0.0,0.374815760912
1487138116566760149,0.0,0.0,0.380402913953
1487138116580599421,0.0,0.0,0.385845770605
1487138116590075866,0.0,0.0,0.391138178296
1487138116603996762,0.0,0.0,0.396274144452
1487138116612791916,0.0,0.0,0.401247844501
1487138116620222322,0.0,0.0,0.406053629628
1487138116631866763,0.0,0.0,0.410686034268
1487138116644370662,0.0,0.0,0.415139783337
1487138116654075065,0.0,0.0,0.419409799188
1487138116668049919,0.0,0.0,0.423491208294
1487138116679241486,0.0,0.0,0.427379347636
1487138116684834353,0.0,0.0,0.431069770808
1487138116694927922,0.0,0.0,0.434558253823
1487138116707066821,0.0,0.0,0.437840800612
1487138116711788064,0.0,0.0,0.440913648223
1487138116718831471,0.0,0.0,0.443773271699
1487138116727795416,0.0,0.0,0.446416388646
1487138116736841070,0.0,0.0,0.448839963475
1487138116751633381,0.0,0.0,0.451041211321
1487138116756839041,0.0,0.0,0.453017601634
1487138116770390604,0.0,0.0,0.454766861434
1487138116776185429,0.0,0.0,0.456286978238
1487138116787906079,0.0,0.0,0.457576202642
1487138116796019359,0.0,0.0,0.458633050566
1487138116807488592,0.0,0.0,0.45945630516
1487138116816997953,0.0,0.0,0.46004501836
1487138116829833602,0.0,0.0,0.460398512106
1487138116856877646,0.0,0.0,0.460516379208
1487138116885597854,0.0,0.0,0.460398483867
1487138116914002896,0.0,0.0,0.46004496185
1487138116953376298,0.0,0.0,0.459456220316
1487138116980020717,0.0,0.0,0.458632937294
1487138117015990707,0.0,0.0,0.457576060816
1487138117045477206,0.0,0.0,0.4562868077
1487138117071518793,0.0,0.0,0.454766661995
1487138117100647334,0.0,0.0,0.453017373073
1487138117139538111,0.0,0.0,0.451040953386
1487138117172042064,0.0,0.0,0.448839675882
1487138117196618570,0.0,0.0,0.446416071079
1487138117228062066,0.0,0.0,0.443772923811
1487138117258780397,0.0,0.0,0.440913269633
1487138117266876218,0.0,0.0,0.437840390908
1487138117279276200,0.0,0.0,0.434557812561
1487138117289503477,0.0,0.0,0.431069297512
1487138117297719174,0.0,0.0,0.427378841796
1487138117312478652,0.0,0.0,0.42349066937
1487138117323348970,0.0,0.0,0.419409226606
1487138117333980954,0.0,0.0,0.415139176489
1487138117345305396,0.0,0.0,0.410685392515
1487138117355507090,0.0,0.0,0.406052952298
1487138117366931532,0.0,0.0,0.401247130887
1487138117379194681,0.0,0.0,0.396273393815
1487138117385279130,0.0,0.0,0.391137389863
1487138117398285111,0.0,0.0,0.385844943568
1487138117407442890,0.0,0.0,0.380402047472
1487138117422203910,0.0,0.0,0.374814854112
1487138117428755650,0.0,0.0,0.369089667781
1487138117441840715,0.0,0.0,0.363232936046
1487138117451138660,0.0,0.0,0.357251241042
1487138117462333893,0.0,0.0,0.351151290553
