%time,field.x,field.y,field.z
1487138104758545175,-0.763260239033,-1.33341669912,0.0836536602542
1487138104772915820,-0.763260705221,-1.33342241628,0.0836359698229
1487138104781488350,-0.763260962005,-1.33342211808,0.0836368314235
1487138104783928846,-0.76326097082,-1.33342229541,0.0836366125777
1487138104785736260,-0.763260106702,-1.33342281776,0.0836345536372
1487138104788658131,-0.763258996263,-1.33342334074,0.0836319813229
1487138104793628290,-0.76325733362,-1.33342413958,0.0836278826473
1487138104795398788,-0.763248735721,-1.33340771063,0.0836453366517
1487138104796115995,-0.763246528062,-1.3334085761,0.0836395981237
1487138104796716411,-0.763246004579,-1.33340890854,0.0836454819561
1487138104799109866,-0.763243841804,-1.33340971964,0.0836392714941
1487138104802468569,-0.763241649998,-1.33341052464,0.0836323663457
1487138104805649981,-0.763239062002,-1.33341131539,0.0836238913357
1487138104806699313,-0.763242840659,-1.33341310256,0.0836335830295
1487138104810407016,-0.763239206812,-1.33341400117,0.0836215708255
1487138104814102052,-0.763235664188,-1.33341487282,0.0836098190448
1487138104815590675,-0.763241880539,-1.33341813491,0.0836156068782
1487138104853058288,-0.763237950181,-1.33341901677,0.0836025034823
1487138104853150163,-0.763232235662,-1.33342015159,0.0835834108198
1487138104853229746,-0.763233245073,-1.33341509094,0.0835974702044
1487138104853279996,-0.763229104563,-1.33341541431,0.0835841515836
1487138104853340204,-0.763223749735,-1.33341579689,0.08356663414
1487138104853402662,-0.763218606349,-1.33341602714,0.0835495438355
1487138104853471995,-0.763224367618,-1.33341424702,0.0835671315157
1487138104853528454,-0.763218465883,-1.33341424074,0.0835473493498
1487138104854100245,-0.763210446879,-1.33341430419,0.0835199986582
1487138104854171161,-0.763205974872,-1.33341437663,0.0835047025221
1487138104854250911,-0.763211916312,-1.33341001464,0.0835365368027
1487138104854319536,-0.763205167001,-1.33340991606,0.0835141818179
1487138104893270771,-0.763198222605,-1.33341014772,0.0834911902671
1487138104893363854,-0.763208553353,-1.33341074298,0.0835228476945
1487138104893470521,-0.763200034595,-1.33341116701,0.0834950212516
1487138104893542896,-0.763192899205,-1.33341153219,0.0834719856607
1487138104894160270,-0.763206763756,-1.33341326194,0.0835027456811
1487138104894228311,-0.76319969742,-1.33341346121,0.0834797977386
1487138104894288103,-0.763189356956,-1.3334136516,0.0834463562101
1487138104894555978,-0.763183256586,-1.33341359399,0.0834267485629
1487138104895806934,-0.763195819092,-1.33341236647,0.083474800305
1487138104895897434,-0.763185332464,-1.33341195151,0.0834417641868
1487138104895954767,-0.76317300904,-1.33341148841,0.0834027666065
1487138104896050517,-0.76316328911,-1.33341118249,0.0833720038377
1487138104896120892,-0.763180345459,-1.33341122325,0.0834326540553
1487138104896231808,-0.763168995429,-1.33341095279,0.0833974760849
1487138104934221045,-0.763185717061,-1.33341236547,0.083444669609
1487138104934285170,-0.763178739326,-1.33341233776,0.0834229859465
1487138104934395128,-0.763169424226,-1.3334124109,0.0833935445912
1487138104934494170,-0.763160047809,-1.3334123638,0.0833633822463
1487138104934549920,-0.763150664443,-1.33341217352,0.0833325320527
1487138104934610711,-0.763167385239,-1.33340718498,0.0834063082609
1487138104934731503,-0.763157082394,-1.33340661319,0.0833724473155
1487138104935113127,-0.763173273256,-1.33340587454,0.0834257761118
1487138104935167544,-0.763164800941,-1.33340545578,0.0833968966831
1487138104935242669,-0.763156089499,-1.33340524515,0.0833663137014
1487138104935305502,-0.763147398015,-1.33340511572,0.0833351264105
1487138104935358627,-0.763165523702,-1.33340556247,0.083396416263
1487138104935422793,-0.763152078292,-1.33340527915,0.0833468628734
1487138104935472793,-0.763142604781,-1.33340506579,0.0833088675472
1487138104939954662,-0.763159631075,-1.33340315881,0.0833771070124
1487138104973349780,-0.763151243587,-1.33340277425,0.0833418580901
1487138104973410155,-0.763144417138,-1.33340256306,0.0833121866121
1487138104973485072,-0.763136566562,-1.33340233206,0.0832773877596
1487138104973537071,-0.763158718206,-1.33340447442,0.083346062203
1487138104974092737,-0.763148111448,-1.33340419127,0.0832963849307
1487138104974411320,-0.763142523381,-1.33340425143,0.0832689490207
1487138104974466445,-0.763159823219,-1.33340394258,0.0833374457342
1487138104974519570,-0.763153134496,-1.33340404028,0.0833036132244
1487138104974583737,-0.76314665953,-1.33340434074,0.0832698174277
1487138104974643487,-0.763161843478,-1.33340267571,0.0833387577265
1487138104974796945,-0.763155212269,-1.33340292209,0.0833032368746
1487138104974870403,-0.763148747777,-1.33340321697,0.0832674665803
1487138105013103889,-0.763161155218,-1.33340270031,0.0833316919666
1487138105013169972,-0.763153171232,-1.3334028996,0.0832868034395
1487138105013246264,-0.763148638354,-1.3334029873,0.0832611368683
1487138105013307764,-0.763139788265,-1.33340299237,0.0832115312087
1487138105013441014,-0.763155255868,-1.33340109013,0.0832828140227
1487138105013518264,-0.763149238486,-1.33340068171,0.0832495167506
1487138105013600597,-0.763140480045,-1.33339999706,0.0832006201199
1487138105013805930,-0.763157613499,-1.33340069246,0.0832680956796
1487138105013900305,-0.763147387708,-1.33339961451,0.0832099604572
1487138105013959555,-0.763143671484,-1.33339927152,0.0831890009686
1487138105014011971,-0.763155978056,-1.33339944141,0.0832583558387
1487138105016009302,-0.763149067639,-1.33339874526,0.0832197200521
1487138105016070093,-0.763142305321,-1.333398296,0.083181575741
1487138105016122593,-0.76313523018,-1.33339802629,0.0831409372113
1487138105053649039,-0.763149432074,-1.33339758814,0.0832189617522
1487138105053740414,-0.763142469525,-1.33339735933,0.0831779132377
1487138105053800164,-0.763133508095,-1.33339731055,0.0831231016755
1487138105053877330,-0.763148270969,-1.33339738448,0.0832009128315
1487138105054021997,-0.763139000297,-1.33339747704,0.0831421895841
1487138105054759704,-0.763137308244,-1.3333975741,0.0831312011755
1487138105054862620,-0.763127900202,-1.33339816272,0.0830698816576
1487138105054924870,-0.763144075331,-1.33339720128,0.0831556786517
1487138105054990037,-0.763138350685,-1.333397656,0.0831172616499
1487138105055057787,-0.763130854124,-1.33339855298,0.0830659171861
1487138105055128745,-0.763123479341,-1.33339964363,0.0830151999044
1487138105055190203,-0.763146157613,-1.33340622859,0.0831005810149
1487138105055246995,-0.76314179719,-1.3334069972,0.0830698152208
1487138105055340495,-0.763135034245,-1.33340830207,0.0830216699478
1487138105093140815,-0.763149283908,-1.33340611458,0.0831118702555
1487138105093206398,-0.76313733248,-1.3334082359,0.0830257270673
1487138105093258606,-0.763137165603,-1.33340826216,0.0830244979716
1487138105093394148,-0.763130474541,-1.33340931052,0.0829752296213
1487138105093453148,-0.763145397904,-1.33340766771,0.0830687217141
1487138105093519398,-0.763138651964,-1.33340854101,0.0830197402015
1487138105093571856,-0.763130599385,-1.33340943858,0.082961265578
1487138105093626064,-0.763144243255,-1.33340674511,0.0830537641352
1487138105093696772,-0.763137813537,-1.33340706291,0.0830076518291
1487138105093764064,-0.763131424257,-1.33340734898,0.0829619498813
1487138105093839480,-0.763125495327,-1.33340762147,0.0829202274344
1487138105094109605,-0.763142866758,-1.3334094001,0.0830181238458
