%time,field.x,field.y,field.z
1487138104758545175,0.000109634316797,-7.58913225627e-05,-0.000310402580133
1487138104772915820,0.000109634611542,-7.5911180896e-05,-0.000310473725369
1487138104781488350,-2.49085332711e-06,-5.02278153838e-05,-6.19795468264e-05
1487138104783928846,0.000150480854312,-9.09635417097e-05,-0.000358552562414
1487138104785736260,0.000369408736754,-0.000173974265889,-0.000855727880122
1487138104788658131,0.00045514363045,-0.00021868019271,-0.00112200442967
1487138104793628290,0.000526088435592,-0.00025845232809,-0.00145025222265
1487138104795398788,0.000537348470437,-0.00023693840792,-0.00142736387755
1487138104796115995,0.000605457677448,-0.000256836315721,-0.00179309522532
1487138104796716411,0.000606544726333,-0.000257534345751,-0.00178084585292
1487138104799109866,0.000662357168029,-0.000243266708557,-0.00208670320941
1487138104802468569,0.000720588234547,-0.000220172111899,-0.00235974417822
1487138104805649981,0.000805139767827,-0.000207698243818,-0.00268274845992
1487138104806699313,0.000787069087972,-0.000216241412733,-0.00263639691633
1487138104810407016,0.000926497597774,-0.000227969271236,-0.00307343756509
1487138104814102052,0.00105473486185,-0.000228940682101,-0.0034517487079
1487138104815590675,0.0010105900371,-0.000252089724026,-0.00341064346681
1487138104853058288,0.00113253332723,-0.000224901032148,-0.00378388443499
1487138104853150163,0.00127478137191,-0.000173826539464,-0.00424866807779
1487138104853229746,0.00126537858148,-0.000126692679733,-0.00411770816684
1487138104853279996,0.00134506705265,-9.60966401724e-05,-0.00440017645533
1487138104853340204,0.00142941221461,-6.39917102765e-05,-0.00474962227327
1487138104853402662,0.00150846999366,-3.96307614616e-05,-0.00507651391922
1487138104853471995,0.00144407908957,-1.97307499418e-05,-0.00487994547832
1487138104853528454,0.00153867902107,-1.21710485967e-05,-0.00524802387434
1487138104854100245,0.0016708497122,-2.70693244417e-05,-0.00571498371812
1487138104854171161,0.00174386742302,-4.96716332983e-05,-0.00596252652264
1487138104854250911,0.00167199117535,3.08803508032e-06,-0.00557741240691
1487138104854319536,0.00179490736336,-5.98881398917e-05,-0.00594257651801
1487138104893270771,0.00191944518171,-0.000100702820671,-0.00627721536571
1487138104893363854,0.00179267245797,-0.00010800625041,-0.00588873424015
1487138104893470521,0.001948281007,-9.97051177922e-05,-0.0062897346333
1487138104893542896,0.00206991546685,-5.61826552419e-05,-0.0065894813099
1487138104894160270,0.0019002908389,-7.73258661615e-05,-0.00621315009439
1487138104894228311,0.00201284521995,-3.7054698018e-05,-0.00650962630846
1487138104894288103,0.00216197936274,2.04138423044e-05,-0.00694897073515
1487138104894555978,0.00224493813356,5.14344990932e-05,-0.00720300902145
1487138104895806934,0.0020957900536,6.60139799093e-05,-0.00663251827223
1487138104895897434,0.00224149161409,8.42308416313e-05,-0.00709321980224
1487138104895954767,0.00239892363103,7.55008228706e-05,-0.00759239710425
1487138104896050517,0.00252660231568,3.85540161549e-05,-0.00794804809073
1487138104896120892,0.00233676801098,3.80989431995e-05,-0.00727302152587
1487138104896231808,0.00247529016376,-4.01724254601e-06,-0.00768917391201
1487138104934221045,0.00229330995549,-1.93757969688e-05,-0.00717557118631
1487138104934285170,0.00235277596599,-1.84698785776e-05,-0.00743618224095
